Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00038648],[0.00025876],[0.00016746]
1,33.41069269180298,0.6923532212021375,7.746127605438232,[0.01152744],[0.00856561],[0.00355851]
2,33.65915298461914,0.6880178009018754,7.706580400466919,[0.03880955],[0.02711159],[0.01271351]
3,33.9013991355896,0.6717515015842939,7.585353851318359,[0.04548678],[0.03124117],[0.01500435]
4,33.9244282245636,0.630191908641295,7.531111717224121,[0.04435702],[0.03073198],[0.01490053]
5,33.93876886367798,0.5648443850905004,7.649446249008179,[0.04301077],[0.03006204],[0.01456561]
6,35.91313195228577,0.4926877221976868,8.98795485496521,[0.04240852],[0.03002367],[0.01445341]
7,39.207008838653564,0.4280600762276938,10.947537183761597,[0.04311524],[0.03063105],[0.01473307]
8,48.07870602607727,0.37527822537554634,14.040103673934937,[0.04444465],[0.031749],[0.01519358]
9,38.6585955619812,0.3329497949794085,11.747604131698608,[0.04709896],[0.03345256],[0.01609116]
10,34.50093412399292,0.29905540940135417,7.711634635925293,[0.05121294],[0.03592464],[0.01738395]
11,39.29388689994812,0.2713114951144565,15.862820625305176,[0.0544716],[0.03833656],[0.01837196]
12,38.71292281150818,0.24832206633355883,14.525352001190186,[0.05708417],[0.04054083],[0.019226]
13,41.83162212371826,0.22959566056126296,10.647633790969849,[0.06004899],[0.04329908],[0.02012526]
14,35.912312030792236,0.2141213316959564,9.08478856086731,[0.06314914],[0.04616701],[0.0210061]
15,40.774696350097656,0.20054939009173953,8.203332901000977,[0.06574338],[0.04864257],[0.02174627]
16,43.088581562042236,0.18861426586153532,17.1680645942688,[0.06856891],[0.05117513],[0.02246802]
17,37.210410594940186,0.17861159864549686,14.222602128982544,[0.07080831],[0.0535168],[0.02307422]
18,41.71451234817505,0.16987431719146592,14.851179838180542,[0.0726852],[0.05590305],[0.02360339]
19,40.389617919921875,0.16242180072297954,8.805474042892456,[0.0743888],[0.05775313],[0.02406055]
20,42.32509446144104,0.15521482197624265,13.25432562828064,[0.07599684],[0.05992234],[0.02446915]
21,36.85742473602295,0.14957698889904553,9.11555814743042,[0.07766175],[0.06191357],[0.02491292]
22,38.02100682258606,0.1440973427109044,8.130807638168335,[0.0787481],[0.0637252],[0.02523277]
23,48.06940722465515,0.140095531996904,11.83625054359436,[0.08004697],[0.06566795],[0.0255995]
24,38.24102592468262,0.13553948961950915,9.730661869049072,[0.08141971],[0.0672817],[0.02596959]
25,41.5858268737793,0.13176104388754778,11.162180423736572,[0.08244368],[0.06857751],[0.02627102]
26,37.09813451766968,0.12796502688316383,8.205120325088501,[0.08350117],[0.06986931],[0.0265557]
27,41.1449499130249,0.12467384321445768,13.570108890533447,[0.08448685],[0.07097091],[0.026832]
28,40.891091108322144,0.1218372600134274,11.952856540679932,[0.08543126],[0.07200441],[0.02709324]
29,40.40090727806091,0.11948115961870762,10.286701202392578,[0.0864304],[0.07292527],[0.02736955]
30,37.230605125427246,0.11656697132069656,11.448855876922607,[0.08728673],[0.07377222],[0.02764251]
31,39.69143033027649,0.11392042996606441,10.67206859588623,[0.08799241],[0.0743301],[0.02784178]
32,47.45012950897217,0.1126800694625185,8.23213267326355,[0.08890912],[0.07515175],[0.02810637]
33,41.706116914749146,0.1099815092454053,9.90609097480774,[0.08950709],[0.0758669],[0.0283023]
34,38.083014726638794,0.10813373712954497,14.846279621124268,[0.09024174],[0.07648925],[0.02850492]
35,35.813655376434326,0.10648172312989981,8.13956594467163,[0.09087832],[0.0772179],[0.02874272]
36,41.035988569259644,0.10460971499031241,9.279426336288452,[0.09156938],[0.07783022],[0.0289286]
37,40.082677602767944,0.10253640241695172,7.979109525680542,[0.09210009],[0.07841296],[0.0291195]
38,41.75557065010071,0.10146590615763809,9.259378671646118,[0.09269761],[0.07907571],[0.02927691]
39,41.21567916870117,0.10033193224984588,8.080216884613037,[0.09333191],[0.07966189],[0.02948456]
40,37.426785469055176,0.0983966953412752,9.789084196090698,[0.0938946],[0.08016288],[0.02967881]
41,39.869439125061035,0.09729455249628635,9.228308200836182,[0.09448048],[0.08062012],[0.02983957]
42,37.123422622680664,0.09562220531656887,9.004910230636597,[0.09506707],[0.08126811],[0.03003885]
43,35.631051540374756,0.09458105858754028,8.912630796432495,[0.09560776],[0.08182302],[0.03020631]
44,42.778886556625366,0.09389122338457541,8.025285720825195,[0.09606673],[0.08224428],[0.03034698]
45,42.02300548553467,0.09245913434359762,7.910880088806152,[0.09663144],[0.08275338],[0.03052281]
46,36.120856285095215,0.09115002200835282,9.4942045211792,[0.09738326],[0.08327643],[0.03071036]
47,37.42145085334778,0.0909516942508594,7.921964883804321,[0.09779897],[0.08366372],[0.03085438]
48,39.78548979759216,0.08974548592937714,17.65388512611389,[0.09838947],[0.08416152],[0.03103356]
49,38.32056736946106,0.08944734439931133,7.921799421310425,[0.09902782],[0.08462673],[0.03123284]
50,36.871220111846924,0.08746267945477457,7.939453363418579,[0.09946397],[0.08508261],[0.03136178]
51,41.164560317993164,0.08688233518088707,7.881646633148193,[0.10002181],[0.08551727],[0.03155268]
52,40.990740060806274,0.08576355799280032,9.235431909561157,[0.10054938],[0.08596171],[0.03172349]
53,43.60726451873779,0.0850494530503497,7.8658530712127686,[0.10108652],[0.08637908],[0.03185913]
54,39.78637361526489,0.08478614791399902,10.09570837020874,[0.10151476],[0.08672328],[0.03197635]
55,35.20315098762512,0.08365436404416657,7.567862033843994,[0.10203962],[0.08716762],[0.03212204]
56,33.91247081756592,0.08285656114193526,10.416996955871582,[0.10245786],[0.08753028],[0.03224764]
57,46.4960732460022,0.08284768718059617,12.853095293045044,[0.10302561],[0.08790436],[0.03239835]
58,45.388428688049316,0.08117313071558571,10.308477401733398,[0.10340138],[0.08827653],[0.03254237]
59,43.777912616729736,0.08091425801617931,12.494852304458618,[0.10409628],[0.0887557],[0.03274164]
60,41.25338816642761,0.07962639460509474,10.746656656265259,[0.10479513],[0.08923092],[0.03294092]
61,56.58318257331848,0.07967282137410207,12.456990480422974,[0.10519861],[0.08955335],[0.03306819]
62,39.34741950035095,0.07910354036574412,11.173284769058228,[0.10569393],[0.08995879],[0.03320718]
63,47.44411253929138,0.07830300146356375,10.84880518913269,[0.10631577],[0.09040628],[0.03337799]
64,48.021892070770264,0.07766381043451603,17.64327049255371,[0.10660763],[0.09072595],[0.03347344]
65,45.38224124908447,0.0774147929905942,10.703482866287231,[0.10720856],[0.09118318],[0.03363755]
66,42.723780393600464,0.07707478305456614,10.689092636108398,[0.10754212],[0.09150966],[0.03374975]
67,43.605350732803345,0.07615114289401757,11.79447865486145,[0.1079108],[0.09185635],[0.0338586]
68,44.95654654502869,0.07476804843830942,10.894130945205688,[0.10831328],[0.0922023],[0.03399759]
69,43.91483020782471,0.07521157819928244,11.522013664245605,[0.10894989],[0.09255786],[0.034155]
70,44.584280490875244,0.07416913393094685,11.687877178192139,[0.10939182],[0.09295037],[0.03429064]
71,44.03175210952759,0.07450918445006163,10.090060234069824,[0.10986917],[0.0932224],[0.03441289]
72,45.213176012039185,0.0739611466462263,10.821292638778687,[0.11031708],[0.09348703],[0.03451504]
73,43.10671353340149,0.07320371437629666,10.314234256744385,[0.11061151],[0.09378287],[0.03462556]
74,41.22466206550598,0.07282795392992822,11.779738426208496,[0.11088083],[0.09393258],[0.03468752]
