Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00071047],[0.00047657],[0.00022272]
1,15.403032541275024,0.5528386292433498,116.48161792755127,[0.04316725],[0.0309757],[0.01394769]
2,15.283709049224854,0.44543996400604347,99.74213480949402,[0.04986846],[0.03904544],[0.01597059]
3,15.322723865509033,0.26457982634504634,116.50145959854126,[0.08080301],[0.06294875],[0.02459307]
4,15.31398630142212,0.12612928436937357,116.56333804130554,[0.11903964],[0.09925983],[0.03601547]
5,15.272216081619263,0.07420912024687336,100.20990204811096,[0.12728099],[0.10630442],[0.0386697]
6,15.175015211105347,0.05182042714170735,116.46187615394592,[0.13047489],[0.10956561],[0.03979336]
7,15.208384037017822,0.039627297315746546,116.42854475975037,[0.13209865],[0.11099393],[0.04029071]
8,15.237650632858276,0.032335893697848526,100.29444026947021,[0.13380712],[0.11271014],[0.04095385]
9,13.632870197296143,0.027278057990990805,46.82037401199341,[0.13582261],[0.11338029],[0.04143613]
10,12.924230813980103,0.023438002236864784,46.678972482681274,[0.13350015],[0.11086804],[0.04067084]
11,12.959739446640015,0.020870442215277993,46.65614295005798,[0.13224339],[0.10938732],[0.04048329]
12,13.00101923942566,0.01862388607255663,46.55178999900818,[0.13170494],[0.10863247],[0.04021535]
13,12.951242685317993,0.016816275398896047,46.575377464294434,[0.13454079],[0.11240419],[0.0410426]
14,12.857190608978271,0.015618763156141144,46.65421485900879,[0.13067546],[0.1071938],[0.03983857]
15,12.853394985198975,0.014699899438636923,46.64568471908569,[0.12809273],[0.10406169],[0.03911347]
16,13.042676210403442,0.013748861337786146,46.59636354446411,[0.1290749],[0.10505588],[0.03936131]
17,12.925417184829712,0.012790562305129085,46.6449613571167,[0.12995718],[0.10493781],[0.0396058]
18,13.037953615188599,0.012353474382461623,46.62876653671265,[0.13060256],[0.10493004],[0.03976656]
19,13.008759260177612,0.011702874916455134,46.64805793762207,[0.13016203],[0.10522929],[0.03967781]
20,13.098399877548218,0.011043606663470843,46.63502621650696,[0.12496157],[0.09852002],[0.03812714]
21,13.147445440292358,0.010714059592121176,46.61416983604431,[0.12553616],[0.09876255],[0.03830297]
22,13.23026156425476,0.010410416352731938,46.59908866882324,[0.12458356],[0.09835201],[0.0379446]
23,13.051469326019287,0.009976886035263012,46.56592345237732,[0.12140176],[0.09570994],[0.0369298]
24,13.023741483688354,0.009749037876838085,46.54532718658447,[0.12486328],[0.09895253],[0.03804675]
25,13.071060180664062,0.009443910249198476,46.58384871482849,[0.12622644],[0.10120642],[0.03845368]
26,12.97643780708313,0.009105895663555148,46.58048129081726,[0.1267085],[0.1006371],[0.03860104]
27,13.054080963134766,0.008891784488411639,59.836379051208496,[0.12641427],[0.10119684],[0.03864961]
28,13.3461275100708,0.008850134103653031,60.6656060218811,[0.12316509],[0.09731319],[0.03753935]
29,13.360505104064941,0.00866245148783418,56.96394205093384,[0.12249835],[0.09696804],[0.03739199]
30,13.032364130020142,0.00838057849217545,46.73336625099182,[0.12366861],[0.09861764],[0.03761304]
31,13.02381706237793,0.008089068994241192,46.65521240234375,[0.11523099],[0.08910238],[0.03502579]
32,12.870486974716187,0.00820882938040251,46.638062953948975,[0.12308287],[0.098161],[0.03752596]
33,12.865259408950806,0.008254237946315735,46.63258957862854,[0.11926622],[0.09300218],[0.03629513]
34,13.053543329238892,0.007801288813517213,46.622129917144775,[0.11905167],[0.09268599],[0.0362968]
35,13.072099208831787,0.007712189769584008,46.607678174972534,[0.1208107],[0.09516309],[0.03675062]
36,13.112586736679077,0.007702167241156779,46.543091773986816,[0.1207146],[0.09501684],[0.03670541]
37,13.021962404251099,0.0075450612742435,46.659842014312744,[0.12155153],[0.09583041],[0.03688794]
38,13.090670585632324,0.00726403490372115,46.63658618927002,[0.11564688],[0.08922573],[0.03501407]
39,12.992146015167236,0.007305981128622374,46.59407353401184,[0.12157519],[0.09549275],[0.03687621]
40,13.218154907226562,0.007167443373202902,46.58848333358765,[0.11843152],[0.09224236],[0.03588653]
41,13.03066110610962,0.007133647275622934,46.62854790687561,[0.12223158],[0.09599528],[0.03719439]
42,12.96421504020691,0.007065337197149567,46.66040635108948,[0.11756238],[0.09064364],[0.03560687]
43,13.038529396057129,0.00670213557337646,46.568771839141846,[0.11973005],[0.09347844],[0.03642407]
44,12.906984806060791,0.0070095861946806465,46.543776988983154,[0.11962407],[0.09353703],[0.03637886]
45,12.927157878875732,0.006635559531695426,46.50960445404053,[0.11962776],[0.09296224],[0.03616954]
46,12.924015283584595,0.006616893721241128,46.47732400894165,[0.11445078],[0.08781526],[0.03460714]
47,12.909770488739014,0.006554126008378455,46.599931716918945,[0.12160728],[0.09634345],[0.03706377]
48,12.835248470306396,0.006747666354799135,46.487520694732666,[0.1186769],[0.09223997],[0.03607911]
49,12.877756595611572,0.006482138359599343,46.447184562683105,[0.11783307],[0.09124682],[0.03584801]
50,12.908240556716919,0.006364517511254308,46.50826549530029,[0.1173039],[0.0903547],[0.03532052]
51,12.830332517623901,0.0062666357994065475,46.61927056312561,[0.11604116],[0.08863137],[0.03496215]
