Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00053619],[0.00034722],[0.00019928]
1,2393.8522222042084,0.39086672547038154,50.26729774475098,[0.07309016],[0.05518664],[0.02163909]
2,2392.5417790412903,0.2048247272167543,50.28730297088623,[0.08644932],[0.06662448],[0.02638489]
3,2399.649572134018,0.1405231080046206,50.343435764312744,[0.0935099],[0.07352853],[0.02871425]
4,1347.2040567398071,0.10791103103470923,27.968958139419556,[0.0984829],[0.07855043],[0.03028334]
5,1332.3137543201447,0.08904444872204101,32.132646560668945,[0.10286542],[0.08214344],[0.03167493]
6,1389.2539854049683,0.07748821930903377,32.061572551727295,[0.10571085],[0.08486121],[0.03243017]
7,1393.5441401004791,0.06885591567014203,31.93982696533203,[0.10820168],[0.08737737],[0.03321388]
8,1389.4912903308868,0.06331013029234277,31.87819004058838,[0.11021331],[0.08957965],[0.03386195]
9,1388.9102942943573,0.05824605945610639,31.987099409103394,[0.11175614],[0.09159342],[0.03436265]
10,1388.3221712112427,0.05394313791108252,31.87064814567566,[0.11355048],[0.09371649],[0.03501072]
11,1342.4462089538574,0.050529363913216975,24.17129945755005,[0.11510198],[0.09547847],[0.03550975]
12,1007.6006646156311,0.047172989461081796,24.238600969314575,[0.11733809],[0.09762218],[0.03608748]
13,1007.5613729953766,0.0439810239277178,24.228822469711304,[0.11815114],[0.0983916],[0.03630685]
14,1007.4413576126099,0.04256221732933714,24.220911979675293,[0.1195052],[0.10005745],[0.03672048]
15,1007.238746881485,0.04007007868377247,24.20587968826294,[0.12132691],[0.10121932],[0.03709893]
16,1007.0951998233795,0.03814715961690503,24.162721633911133,[0.12177156],[0.10224929],[0.03739031]
17,1007.5961112976074,0.0359237099706073,24.258673906326294,[0.12292687],[0.10325072],[0.03771686]
18,1008.2094035148621,0.034442383038689094,24.26080060005188,[0.12456759],[0.10448974],[0.03812546]
19,1007.6328644752502,0.033019696653942866,24.187293529510498,[0.12585497],[0.10494096],[0.03840344]
20,1007.0548143386841,0.031265044100394455,24.24852728843689,[0.12605749],[0.10535382],[0.03844531]
