Iteration,fit_time,epoch_loss,val_loss,evaluate_time,hit_rate,ndcg
0,121.1676332950592,119.79629936814308,3.6948113441467285,51.49559950828552,[0.3086581],0.3463142396426858
1,117.32947087287903,42.39830958843231,0.7511815130710602,49.748082876205444,[0.3563228],0.40591866524448766
2,118.5151093006134,11.490951858460903,0.3209032043814659,50.19223666191101,[0.35211228],0.39826172358296413
3,120.78152775764465,5.633947687223554,0.1850857026875019,50.784276247024536,[0.33178787],0.35655368140133364
4,115.64931511878967,3.2974411752074957,0.11672344710677862,49.507986307144165,[0.28561267],0.27005843310569005
5,121.95595049858093,2.1042034160345793,0.08113824483007193,50.51686358451843,[0.23358617],0.21191870787227146
6,120.32865715026855,1.429131535347551,0.060580607037991285,50.465104818344116,[0.20698733],0.18625223711003228
7,129.3832323551178,1.0185510276351124,0.043199893552809954,52.47286057472229,[0.18994759],0.1702789218631115
8,149.89172339439392,0.7547696395777166,0.033535938244313,47.29893732070923,[0.1767757],0.15744876077740835
9,120.65333366394043,0.5761427145916969,0.026385846780613065,46.276073694229126,[0.16985801],0.14895409308792792
10,115.82869148254395,0.4505349309183657,0.020622195093892515,45.085066080093384,[0.16169128],0.1409444173851666
11,117.29485154151917,0.3600506793009117,0.017838761094026268,45.43216347694397,[0.15250124],0.13271361836145032
12,120.75510334968567,0.29253022326156497,0.014048867975361645,46.29234576225281,[0.14042741],0.12342228047063122
13,121.66567254066467,0.24125994701171294,0.011707919067703187,46.11608958244324,[0.12835181],0.11481695644523672
14,126.01430535316467,0.20147278375225142,0.01121008163318038,46.1692316532135,[0.12016826],0.1089451850996837
15,119.77053570747375,0.16959997586673126,0.008594898914452642,45.74533939361572,[0.11175424],0.10398825470914945
16,122.95403480529785,0.14413947681896389,0.008014054619707167,52.88560080528259,[0.10650897],0.10045944549492632
17,119.91232466697693,0.12349326148978435,0.006401622900739312,52.81557846069336,[0.10050557],0.09624327816738928
18,118.83018612861633,0.10641065775416791,0.00539843350998126,50.28428268432617,[0.09688135],0.09304077406076987
19,130.40910410881042,0.09238545352127403,0.005192522949073464,50.41438126564026,[0.09379048],0.09052273660844781
20,119.82743310928345,0.08034960067016073,0.0043793252552859485,49.35921287536621,[0.09083971],0.08844882254572746
21,120.38528800010681,0.0702932451677043,0.003998510859673843,49.950860261917114,[0.08748093],0.0864501494148609
22,119.2451765537262,0.06166627765924204,0.003311016072984785,50.14211988449097,[0.08557912],0.0848794036335449
23,119.46723341941833,0.054294455141643994,0.003089124074904248,49.674798011779785,[0.08490535],0.08424836368785073
24,119.4654049873352,0.04796852702565957,0.0026999961701221764,49.742511510849,[0.08421544],0.08352038832624864
25,124.62244868278503,0.042405209940625355,0.002783648335025646,47.09068727493286,[0.08317347],0.08273610729256103
26,120.44340515136719,0.037633262370945886,0.002178640104830265,47.13110303878784,[0.08295173],0.08204600536524617
27,119.7953462600708,0.0334316471562488,0.0020330615516286343,46.76769781112671,[0.08253312],0.08181083709844332
28,120.15895962715149,0.0297335750728962,0.0017355270247207955,47.21303963661194,[0.08251919],0.08150465418476155
29,123.61775231361389,0.026490590629691724,0.001822402213292662,57.756781578063965,[0.08182293],0.08121553724988696
30,118.23769617080688,0.023626784874068107,0.0015234695092658512,47.7910590171814,[0.08166596],0.08111905219414128
