Iteration,fit_time,evaluate_time,hit_rate,ndcg
1,3.742372512817383,0.48717308044433594,0.7422126745435016,0.35589705256640314
2,1.7403478622436523,0.343080997467041,0.7368421052631579,0.3628690388419043
3,2.077446937561035,0.31316041946411133,0.7400644468313641,0.3609142710756578
4,1.797196388244629,0.331113338470459,0.8195488721804511,0.4269037220033791
5,1.8161559104919434,0.26926612854003906,0.8754027926960258,0.4783984955854545
6,1.7762525081634521,0.2742643356323242,0.8968850698174007,0.4891542964330748
7,1.6803946495056152,0.29520273208618164,0.874328678839957,0.4826213252802453
8,1.8919425010681152,0.28623366355895996,0.8646616541353384,0.47709129762330477
9,1.7343668937683105,0.2733731269836426,0.8732545649838883,0.46853927031574283
10,1.750211238861084,0.2952091693878174,0.8603651987110634,0.46098414110218144
11,1.7034461498260498,0.2742652893066406,0.8528464017185822,0.4508358356448684
12,1.7553086280822754,0.28623247146606445,0.8517722878625135,0.45107557736249443
13,1.9059040546417236,0.2932147979736328,0.8367346938775511,0.42176277333709883
14,1.6735270023345947,0.2907083034515381,0.8378088077336198,0.41851780453088927
15,1.7710587978363037,0.306180477142334,0.8238453276047261,0.41286829526154345
16,1.66754150390625,0.292217493057251,0.8345864661654135,0.4213018266361149
17,1.6446034908294678,0.307178258895874,0.8292158968850698,0.39803637905907724
18,1.95876145362854,0.2732689380645752,0.8259935553168636,0.39493229776483496
19,1.8520596027374268,0.30716633796691895,0.8281417830290011,0.39779402681934084
20,1.8799738883972168,0.2872307300567627,0.80343716433942,0.37788856272372157
21,1.6785123348236084,0.2682814598083496,0.8141783029001074,0.38927972607321143
22,1.6844966411590576,0.27227139472961426,0.8098818474758325,0.3724374883369544
23,1.635627031326294,0.26927852630615234,0.8088077336197637,0.37638977548011465
24,1.6346442699432373,0.27225637435913086,0.8120300751879699,0.37831980539404864
25,1.7722623348236084,0.3351023197174072,0.7959183673469388,0.36897267745358064
26,1.7882184982299805,0.3261556625366211,0.80343716433942,0.374051734973605
27,1.860996961593628,0.28623414039611816,0.8195488721804511,0.38814875938810117
28,1.8390817642211914,0.3231370449066162,0.8141783029001074,0.3800920769828795
29,1.717406988143921,0.2742652893066406,0.8088077336197637,0.37699359062604876
30,1.6815049648284912,0.2702755928039551,0.8045112781954887,0.3679593378664659
31,1.685744047164917,0.31415534019470215,0.7980665950590763,0.3663625104933971
32,1.8929376602172852,0.3400895595550537,0.8045112781954887,0.3835050825815258
33,1.9155662059783936,0.30748963356018066,0.8152524167561761,0.3836581610344232
34,1.778245210647583,0.3361833095550537,0.80343716433942,0.37022891255981916
35,1.8808872699737549,0.26927995681762695,0.8098818474758325,0.38442318362017386
36,1.843088150024414,0.2902069091796875,0.8023630504833512,0.3687375060346276
37,2.046586513519287,0.38321566581726074,0.8045112781954887,0.3790786256266122
38,1.8986821174621582,0.29122138023376465,0.8055853920515574,0.3798987473854401
39,1.767273187637329,0.2892270088195801,0.8066595059076263,0.38412727979893363
40,1.705308198928833,0.28623366355895996,0.8120300751879699,0.39167867627938724
41,1.8251218795776367,0.2632937431335449,0.8152524167561761,0.3936274934377579
42,1.7968904972076416,0.265286922454834,0.799140708915145,0.37681771302910233
43,1.747328519821167,0.27526211738586426,0.8066595059076263,0.3833511759398699
44,1.856238603591919,0.29113078117370605,0.7980665950590763,0.38829467088721537
45,2.1206867694854736,0.3194279670715332,0.8023630504833512,0.3842316130937046
46,1.9161300659179688,0.28822851181030273,0.8045112781954887,0.39070315634910135
47,1.9138832092285156,0.28009557723999023,0.7883995703544576,0.3825846903133896
48,1.672530174255371,0.263293981552124,0.8141783029001074,0.3998213564871946
49,1.6944704055786133,0.28024816513061523,0.807733619763695,0.38944298174309344
50,1.800391674041748,0.29919981956481934,0.80343716433942,0.399347496759432
51,1.8336033821105957,0.2702763080596924,0.8002148227712137,0.3882107508064179
52,1.8869576454162598,0.2882258892059326,0.8109559613319012,0.39338092484546205
53,1.930466890335083,0.2985720634460449,0.8174006444683136,0.3948882944848215
54,1.7981009483337402,0.2852365970611572,0.799140708915145,0.38578216776753416
