Iteration,fit_time,epoch_loss,val_loss,evaluate_time,hit_rate,ndcg
0,39.08571457862854,163.62144693732262,2.970735937356949,69.99641966819763,[0.01320214],0.009773843039611593
1,38.804877281188965,43.392000179737806,0.6529036909341812,73.53445053100586,[0.01297256],0.010477043395729626
2,38.42145609855652,10.596971249207854,0.23837072029709816,69.81532406806946,[0.01319774],0.010600403415965675
3,38.78981113433838,4.368047576397657,0.11846336629241705,73.52003741264343,[0.01255595],0.010605561046761178
4,38.826064586639404,2.305855670478195,0.0690055200830102,69.76145577430725,[0.01274473],0.010802646162964457
5,38.86163115501404,1.393576064845547,0.044421544298529625,71.54144144058228,[0.01262604],0.010744462013288549
6,37.403119802474976,0.9174288115464151,0.030361084267497063,69.24938535690308,[0.01298449],0.010979902216307468
7,38.87220311164856,0.6397397092077881,0.021890142001211643,70.05976510047913,[0.01260038],0.010892040856688111
8,39.43142795562744,0.46439896314404905,0.016307215788401663,71.86780381202698,[0.01281477],0.011040617460187634
9,48.07424783706665,0.3472177747753449,0.012464902130886912,74.35523438453674,[0.01299159],0.011057582239131529
10,38.18030834197998,0.26538995472947136,0.0096634243382141,70.48828625679016,[0.01293896],0.011114533160769248
11,39.85608506202698,0.2064306151587516,0.0076933157979510725,70.29392766952515,[0.01288698],0.01117136276295555
12,38.73864674568176,0.1628730154770892,0.006140512588899583,70.00347304344177,[0.01279425],0.011107050982982345
13,40.13476300239563,0.12996264707180671,0.004981383739504963,65.29718470573425,[0.01282296],0.011145252361398872
14,38.794596433639526,0.10467338122543879,0.0040779328846838325,63.56460666656494,[0.01283107],0.011090555653340394
15,38.73982882499695,0.08494154654908925,0.003371432132553309,64.73138809204102,[0.01303866],0.011187433061184145
16,38.855860471725464,0.06940132533782162,0.002778988884529099,65.80379486083984,[0.01310776],0.011159964660301443
17,43.810548305511475,0.05705338410916738,0.0023231622762978077,63.1775267124176,[0.01308069],0.011125295878419903
18,38.97497057914734,0.04708556110563222,0.0019443233468336985,63.24360966682434,[0.01310454],0.011176167847432663
19,39.338528871536255,0.03903412868385203,0.001637408451642841,64.94852375984192,[0.01329575],0.011256254661672141
20,38.50402021408081,0.032470323516463395,0.001390960591379553,63.978991746902466,[0.01361994],0.01140281820793475
21,38.89590287208557,0.02711606925004162,0.001184724664199166,63.269776344299316,[0.01360628],0.011410266416505764
22,38.901832818984985,0.022691508260322735,0.0010023807408288121,63.32840633392334,[0.01358523],0.01140381308497837
23,38.766499280929565,0.019042426756641362,0.0008453937916783616,64.09525966644287,[0.01360016],0.011446547246730188
24,38.50357937812805,0.016018985228583915,0.0007208331444417126,63.83858013153076,[0.01349872],0.011404271452053659
25,39.15060353279114,0.013501659435860347,0.0006185283418744802,64.32558917999268,[0.01365943],0.011469594598189059
26,46.609142780303955,0.011406735546188429,0.0005312894718372263,69.4958884716034,[0.01348576],0.011389372108754807
27,38.77906370162964,0.009654647448769538,0.0004554632650979329,63.463454484939575,[0.01340674],0.011437487185001344
28,39.70459270477295,0.008182285313523607,0.00039563499740324914,63.61242198944092,[0.01331201],0.01140717359304431
29,39.094934701919556,0.006950740651518572,0.0003403525406611152,63.219130516052246,[0.01363568],0.011520280028019109
30,46.38801956176758,0.005914366176511976,0.0002968896696984302,64.93750882148743,[0.01363568],0.01151651313895865
31,38.67300581932068,0.005041417661232117,0.00025656157777120825,63.61838746070862,[0.01363568],0.011465797472074244
32,38.6702983379364,0.004305912796553457,0.00022297785835689865,63.61933255195618,[0.01362094],0.011414586054788001
33,38.92704963684082,0.0036808445665883482,0.00019934592637582682,64.20665287971497,[0.01365252],0.011434125960492465
34,38.63058948516846,0.0031553382532365504,0.00017159103481390048,63.630361795425415,[0.01373003],0.011471314342659864
35,38.86740756034851,0.0027072286711700144,0.0001512342614660156,63.55369830131531,[0.01373804],0.0114886932489958
36,38.98747706413269,0.002329258210465923,0.00013163427229301305,63.9592661857605,[0.01385961],0.01147582521105403
37,39.33734846115112,0.002006580167744687,0.00011587041080929339,70.9692633152008,[0.01382803],0.011480421065545398
38,38.8906672000885,0.0017323223969469836,0.00010260729686706327,63.78461503982544,[0.01379803],0.011546679196151802
39,38.96821880340576,0.0014989434062044893,9.096148005482974e-05,64.22072577476501,[0.01385225],0.011612312458193014
40,39.281872034072876,0.001299485418257973,8.078731389105087e-05,64.03897023200989,[0.01402669],0.01172273070148272
41,41.91722536087036,0.0011287668439763365,7.564395400549984e-05,64.3458149433136,[0.01380565],0.011576726570329264
42,42.24793076515198,0.0009825938734593365,6.433231556002283e-05,64.8995292186737,[0.01402669],0.011655201452474779
43,45.766286849975586,0.0008570055606469396,5.864965032742475e-05,75.42785811424255,[0.01401369],0.011692355222126425
44,41.55715274810791,0.0007492427253055212,5.2692538247356424e-05,63.373680114746094,[0.01409895],0.011856702247847918
