Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00041318],[0.00030787],[0.00015574]
1,290.34592032432556,0.6900257045271421,13.886305809020996,[0.03428094],[0.03050477],[0.01062027]
2,287.27434182167053,0.6535576315540256,10.198295593261719,[0.09607753],[0.08032924],[0.02960848]
3,284.5369129180908,0.48515113360351986,10.794838428497314,[0.09348976],[0.0779613],[0.0287176]
4,281.7785415649414,0.32854774759875405,11.049087047576904,[0.09553098],[0.0799102],[0.02955657]
5,280.5688319206238,0.2466715541527127,10.916383266448975,[0.09863591],[0.08249749],[0.03065845]
6,287.2566213607788,0.1984842015486775,11.223515033721924,[0.10161952],[0.0845625],[0.03162134]
7,281.90611481666565,0.16698726390798888,11.356727123260498,[0.10416247],[0.08678206],[0.03241845]
8,280.56048107147217,0.14611131268920322,11.104541063308716,[0.10660456],[0.08865108],[0.03320216]
9,281.1416175365448,0.1297046576222085,11.069429397583008,[0.10867647],[0.09052436],[0.03384185]
10,280.30480098724365,0.11774844706359536,11.413396120071411,[0.1106482],[0.09249142],[0.03441791]
11,284.85373616218567,0.10823864640310557,11.764546394348145,[0.11256074],[0.09425936],[0.03495546]
12,279.3811664581299,0.1002919011645847,11.650380373001099,[0.11410628],[0.09579368],[0.03536238]
13,278.25944352149963,0.09334724603427781,12.08697509765625,[0.11559826],[0.09705794],[0.03573414]
14,275.6244592666626,0.08885031027926339,12.075460195541382,[0.11724573],[0.09844615],[0.03620973]
15,279.5469391345978,0.0841825409707698,11.470419883728027,[0.11855337],[0.09952319],[0.03655134]
16,284.579870223999,0.0797744325992435,11.621299505233765,[0.11959217],[0.10050853],[0.03686114]
17,278.8558757305145,0.07630399471581584,11.531162738800049,[0.12065104],[0.10144213],[0.03715755]
18,278.6851270198822,0.07264125236131326,11.45171308517456,[0.12210041],[0.10261607],[0.03751926]
19,278.7770893573761,0.0701278554501407,11.638256311416626,[0.12313535],[0.10350819],[0.03779724]
20,282.5706527233124,0.06727591129678367,10.741062879562378,[0.1240629],[0.10437388],[0.03808192]
21,285.42826437950134,0.06574493353113983,11.626343965530396,[0.12547639],[0.10540251],[0.03840344]
22,279.7037024497986,0.06374486981693542,11.725309610366821,[0.12684843],[0.1064495],[0.03876013]
23,276.98602390289307,0.061793798505507334,11.189032793045044,[0.12756335],[0.10719036],[0.03898955]
24,279.5201280117035,0.059840227561918174,11.580611944198608,[0.12863388],[0.10821891],[0.03924576]
25,284.86253356933594,0.05838756533245547,10.59143590927124,[0.12908873],[0.10872616],[0.0393948]
26,286.2522644996643,0.057244861432623986,11.339544773101807,[0.13015723],[0.10956543],[0.03965269]
27,279.983505487442,0.05578421235009275,11.566046237945557,[0.13084404],[0.1101361],[0.03983522]
28,279.7035195827484,0.05478349012896569,11.19023323059082,[0.13167216],[0.11088069],[0.04005627]
29,280.3443920612335,0.05385751206653588,11.288958549499512,[0.13223483],[0.11159916],[0.04023042]
30,285.98721170425415,0.05238702142554702,11.303898572921753,[0.13324183],[0.11228836],[0.0405419]
31,283.4334805011749,0.05130632374097,11.303090333938599,[0.13399626],[0.11282218],[0.04064237]
32,280.00509691238403,0.05051541252231056,11.697155475616455,[0.13451078],[0.11322403],[0.04080481]
33,280.1549782752991,0.049811026363661796,11.235491514205933,[0.13479164],[0.11380139],[0.04089021]
34,279.85910987854004,0.04842261535425981,11.587174892425537,[0.13506205],[0.11412548],[0.04092203]
35,283.6367709636688,0.04768267468633977,11.655112504959106,[0.13556424],[0.11475949],[0.04103758]
36,262.4034278392792,0.046984957926201096,11.834423780441284,[0.13599304],[0.11494142],[0.04116317]
37,274.1495678424835,0.045892559208276895,11.632376909255981,[0.13667893],[0.11568226],[0.04133231]
38,274.2185001373291,0.045171122979184596,11.668039321899414,[0.13737244],[0.11584311],[0.04146795]
39,278.7171905040741,0.04476163503855015,11.120888233184814,[0.13799626],[0.11614235],[0.04164713]
40,280.46372532844543,0.04395352905578535,11.4355149269104,[0.13806318],[0.11623992],[0.04161531]
41,272.79635787010193,0.04348239376012123,11.687575578689575,[0.13904257],[0.1167279],[0.04184641]
42,275.7505524158478,0.04284550480055387,11.695102453231812,[0.13912004],[0.11719948],[0.04193851]
43,275.6332793235779,0.04215927446505638,11.751416683197021,[0.13935361],[0.11745891],[0.04200549]
44,281.68568897247314,0.04190251318211056,11.507762670516968,[0.13956642],[0.11735434],[0.04212271]
45,273.6861479282379,0.040893553257590594,11.084657907485962,[0.14012134],[0.11797306],[0.04222989]
46,274.8778586387634,0.04045234332707795,11.697834491729736,[0.13981956],[0.11806396],[0.04221984]
47,275.67561316490173,0.04029756667318218,11.628889560699463,[0.14092496],[0.11847798],[0.04244256]
48,279.409250497818,0.040088785868702514,10.580086946487427,[0.14119183],[0.11859864],[0.04250452]
49,281.1464195251465,0.03964819608143333,11.474130868911743,[0.14122448],[0.11845815],[0.04254304]
50,262.8681285381317,0.0389114269713937,11.575167179107666,[0.14136279],[0.11858596],[0.04252964]
51,276.1386067867279,0.038248248163121515,11.597728967666626,[0.14191262],[0.11929667],[0.04279088]
52,277.00423550605774,0.03758537895845795,11.580093622207642,[0.14233243],[0.11949021],[0.04287963]
53,282.0909583568573,0.03740853294636114,11.462238311767578,[0.14262492],[0.12045231],[0.04290642]
54,277.6568157672882,0.0375807926745502,11.56426739692688,[0.14299316],[0.1204671],[0.0430002]
55,275.9973704814911,0.03696453252882518,11.526232481002808,[0.14345895],[0.1211588],[0.04316431]
56,276.99363803863525,0.03637801318175413,11.495066165924072,[0.14394126],[0.12132108],[0.04326311]
57,281.2927083969116,0.036729662072365034,10.405861616134644,[0.14438933],[0.12218122],[0.04339875]
58,282.3543562889099,0.035544015147318746,11.84817886352539,[0.14474301],[0.12237197],[0.04346909]
59,266.4944624900818,0.03578520698397599,11.690618753433228,[0.14521465],[0.12291062],[0.04358798]
60,276.0584123134613,0.03466550634252002,11.828373432159424,[0.14512149],[0.12283545],[0.04364827]
61,275.77729058265686,0.03480359938259077,11.666287422180176,[0.14540304],[0.1232601],[0.04371525]
62,281.84896206855774,0.03448748962031772,11.731467247009277,[0.14588608],[0.12381303],[0.04378391]
