Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00038286],[0.00024934],[0.00016411]
1,50.55927395820618,0.5135252484016948,13.80017375946045,[0.05905596],[0.04183268],[0.01984225]
2,54.47215795516968,0.18215994811569802,10.426058292388916,[0.07708066],[0.05951228],[0.02487273]
3,55.5503625869751,0.12218188801121832,10.657343626022339,[0.08679194],[0.06939834],[0.02751524]
4,47.960688829422,0.10122841222192903,10.843797445297241,[0.09369277],[0.07667267],[0.02944102]
5,49.72199845314026,0.08952799416852719,11.778968811035156,[0.09826317],[0.08141819],[0.03088117]
6,47.955334424972534,0.0814613083358666,15.157295942306519,[0.10471263],[0.08693312],[0.03266964]
7,50.72242569923401,0.07500244090992092,16.23200249671936,[0.10913668],[0.0910621],[0.03396577]
8,53.31071853637695,0.07101027956326501,12.460394859313965,[0.11300818],[0.09454837],[0.03512794]
9,50.13326621055603,0.06673723653974858,13.50965404510498,[0.11641504],[0.09693065],[0.03611093]
10,48.48725748062134,0.06326480567304775,15.678622722625732,[0.11884508],[0.09927124],[0.03687119]
11,55.483142137527466,0.060368212767773204,11.148043632507324,[0.12083519],[0.10071647],[0.03752763]
12,46.778156757354736,0.05749603875470583,12.001137018203735,[0.1226972],[0.10246186],[0.03806852]
13,49.98508095741272,0.05501640197642223,12.37850022315979,[0.12427579],[0.10369412],[0.0383666]
14,51.30752968788147,0.053959601972666055,14.60046100616455,[0.12584791],[0.10507125],[0.03896108]
15,47.77714943885803,0.052117153202569245,14.021400690078735,[0.12780885],[0.10667202],[0.03945006]
16,49.58371639251709,0.050312711179933765,11.518186330795288,[0.12808339],[0.10741259],[0.03950198]
17,49.23703384399414,0.04890431214424998,7.8817243576049805,[0.12994599],[0.10845061],[0.04005459]
18,41.33160185813904,0.04730070649523928,7.65979528427124,[0.13117891],[0.10970156],[0.04036272]
19,48.50223517417908,0.046342839882003536,10.43948745727539,[0.13242796],[0.11060889],[0.04067754]
20,54.39831900596619,0.04488691072346586,15.357005596160889,[0.13302791],[0.11124018],[0.04087849]
21,51.16959762573242,0.04428713715099024,10.165306568145752,[0.13385292],[0.11146903],[0.04108614]
22,41.523600339889526,0.04343335978178815,10.149387836456299,[0.1349856],[0.11254856],[0.04139259]
23,49.82146215438843,0.042552601649529405,9.672367572784424,[0.13472951],[0.11288583],[0.04138254]
24,48.0433988571167,0.04139764981833522,15.941205024719238,[0.13588321],[0.11390457],[0.04178277]
25,54.45018672943115,0.04082207305996557,11.073534488677979,[0.13652698],[0.11461973],[0.04195191]
26,50.27664613723755,0.040209426234165825,9.812966346740723,[0.13773561],[0.11536617],[0.04232367]
27,45.42975664138794,0.03938383997577911,11.461326122283936,[0.1376457],[0.11512781],[0.04223491]
28,37.19379663467407,0.03887828375504474,10.468328952789307,[0.13842783],[0.11593315],[0.04252127]
29,35.25936245918274,0.038493503059138255,10.033199071884155,[0.13868849],[0.11607408],[0.04255811]
30,36.44064140319824,0.037388786739396926,11.233265161514282,[0.13977089],[0.11725803],[0.04296169]
31,37.5654296875,0.03664545543642357,13.691583633422852,[0.14042669],[0.117606],[0.04309063]
32,35.35123562812805,0.036632181958982137,13.133946418762207,[0.14084938],[0.11833269],[0.04316599]
33,42.410407066345215,0.03626366441298013,14.60293436050415,[0.14098945],[0.11817587],[0.04325474]
34,37.035130739212036,0.035426434383473614,12.399662017822266,[0.14190852],[0.11890353],[0.04356621]
35,37.6536009311676,0.034903980655162925,10.779595613479614,[0.14214897],[0.1194915],[0.04357459]
36,40.25244164466858,0.03465922733750006,10.083174467086792,[0.14216328],[0.11952131],[0.04359803]
37,48.05339074134827,0.03392269631678408,10.840103387832642,[0.14273886],[0.11969625],[0.04380401]
38,44.46610116958618,0.03338383073269418,9.90025544166565,[0.14359323],[0.12024434],[0.04390281]
39,52.51009750366211,0.0332859557056141,11.048850536346436,[0.14346019],[0.12033954],[0.04396477]
40,47.32843208312988,0.0327713843717268,14.453556060791016,[0.1438846],[0.12032655],[0.04410376]
41,46.51269245147705,0.032255657506410525,12.955307006835938,[0.1439303],[0.12032375],[0.0441339]
42,48.766178369522095,0.032098896608622085,10.506676197052002,[0.14415011],[0.12021048],[0.0443516]
43,52.07094049453735,0.03158512976810788,10.684602499008179,[0.14467435],[0.12090051],[0.04451403]
44,64.32294988632202,0.03146162769766619,10.466977834701538,[0.14469446],[0.12056099],[0.04450566]
45,53.857306480407715,0.03092011282540331,11.51945447921753,[0.14482005],[0.12081065],[0.0445626]
46,48.89869976043701,0.03077169100405893,11.347055435180664,[0.14562091],[0.12138961],[0.04467814]
47,47.919472217559814,0.03056908750699626,13.95969557762146,[0.14602222],[0.12169862],[0.04467312]
48,41.426875591278076,0.03043126374614811,10.80674409866333,[0.14620743],[0.1221099],[0.04471666]
49,46.45696043968201,0.030130533054659164,10.316091060638428,[0.14678415],[0.12250792],[0.04498459]
50,51.345240116119385,0.029686092046287024,12.697297096252441,[0.14673679],[0.12224012],[0.04486067]
51,42.97880673408508,0.029356799728114797,10.365226984024048,[0.14741954],[0.12243295],[0.04510851]
52,57.57693552970886,0.02883509625539635,12.074464559555054,[0.14783416],[0.12286717],[0.04522741]
53,49.89238429069519,0.028721709745098845,10.02927041053772,[0.14839616],[0.12354604],[0.04540157]
54,40.57966947555542,0.028800226992579423,10.206486225128174,[0.14847496],[0.12349355],[0.04548865]
55,47.844390630722046,0.028666071955942445,10.09168291091919,[0.14904139],[0.12398866],[0.04554391]
56,46.60466718673706,0.028263827179078802,12.10024380683899,[0.14948282],[0.12428611],[0.04566783]
57,46.99947214126587,0.028186272241814872,9.790552854537964,[0.14948226],[0.12433412],[0.04565276]
58,51.772629261016846,0.027376662539976716,11.903953075408936,[0.14992694],[0.12492922],[0.04574653]
59,55.54356122016907,0.027648101645437153,13.677135229110718,[0.14996735],[0.12481059],[0.04580849]
60,44.0194206237793,0.02701386076050124,12.482121467590332,[0.14991809],[0.12472029],[0.0457884]
61,47.84445071220398,0.027278042468947893,10.189154863357544,[0.15011846],[0.12496376],[0.04600275]
62,43.634950399398804,0.02710458959894951,16.399535179138184,[0.15125876],[0.12591977],[0.04617355]
63,47.60548543930054,0.026982807201530897,10.033473014831543,[0.15099214],[0.12614831],[0.04620035]
64,58.697664976119995,0.02670521110841873,10.185895681381226,[0.15132454],[0.12609945],[0.0463092]
65,46.44842004776001,0.026649136573659502,12.73230504989624,[0.15213547],[0.12678863],[0.04654029]
66,45.80476355552673,0.026328107704304986,10.291099071502686,[0.15160079],[0.12595834],[0.04628408]
67,45.24371099472046,0.0261078063031715,10.16891622543335,[0.15179389],[0.12629595],[0.04636278]
68,45.95033264160156,0.025651294004284973,10.4821138381958,[0.15160338],[0.12649254],[0.04636278]
69,44.07278370857239,0.025854549921033056,9.551152229309082,[0.15198926],[0.12647884],[0.04641135]
70,49.50276827812195,0.02589598678598049,17.094709873199463,[0.15293536],[0.12721007],[0.04660727]
71,52.0940580368042,0.02558220394727106,11.748670816421509,[0.15290463],[0.12681951],[0.04660058]
72,53.056063175201416,0.025637959360587177,10.054517269134521,[0.15304686],[0.1265871],[0.04663407]
73,47.16451835632324,0.02502369638438327,10.428577423095703,[0.15359323],[0.12695489],[0.04684674]
74,44.38469672203064,0.025150989727916743,10.083412647247314,[0.1539887],[0.12694323],[0.04693382]
75,48.05471754074097,0.02477956752321034,18.64638876914978,[0.15375639],[0.1270608],[0.04698908]
76,47.86154341697693,0.02462373221895159,14.511855840682983,[0.15429463],[0.12717122],[0.04707114]
77,46.158738136291504,0.024862241766631904,11.326308488845825,[0.15424546],[0.12764112],[0.04706444]
78,55.79513239860535,0.024218718384891147,16.797405242919922,[0.15385558],[0.12762466],[0.04700248]
79,48.120769023895264,0.024102073564956136,14.361994981765747,[0.15385382],[0.12744657],[0.04693047]
80,53.31608176231384,0.024009253853235882,11.035871028900146,[0.1540512],[0.12785964],[0.04711468]
81,42.67817211151123,0.02399216468135516,16.533695697784424,[0.15474379],[0.12818819],[0.04732065]
82,43.853437185287476,0.023979026231576096,11.448887586593628,[0.1547941],[0.12800924],[0.0472252]
83,47.93890619277954,0.02400752988578093,10.112147808074951,[0.15477787],[0.12843572],[0.04739936]
84,46.5762243270874,0.023627003165658075,12.81815505027771,[0.15410715],[0.12805865],[0.04717496]
85,48.36232614517212,0.02377887181420293,9.765021562576294,[0.15451328],[0.12856162],[0.0472185]
86,49.436171531677246,0.023394642863422632,7.83695650100708,[0.15432229],[0.12814293],[0.04716156]
87,38.09591627120972,0.02340245770638564,8.604850769042969,[0.15458571],[0.1281357],[0.04730725]
88,50.69442415237427,0.022991095996471218,11.444657564163208,[0.15501949],[0.1282941],[0.04730893]
89,51.811514377593994,0.023087366020796123,11.272241592407227,[0.15520725],[0.12856186],[0.04746634]
90,54.74145531654358,0.022828813322415254,9.946645021438599,[0.1557663],[0.12880482],[0.04764385]
91,48.87788915634155,0.02267499645522824,17.1006977558136,[0.15605075],[0.12910236],[0.04773093]
92,49.169456243515015,0.022501723015342246,11.220672369003296,[0.15603998],[0.12900316],[0.04771418]
93,50.21362900733948,0.022485915620839507,16.96252727508545,[0.15704427],[0.12976345],[0.04797039]
94,51.664238929748535,0.022475650162445477,11.205361127853394,[0.15690294],[0.12986611],[0.04794862]
95,49.967047929763794,0.022219028507331103,16.008702516555786,[0.15609906],[0.12920331],[0.04776107]
96,53.19026231765747,0.02213812690707996,15.815600395202637,[0.15542089],[0.12857895],[0.04759361]
97,47.99682354927063,0.022251070495883023,14.56508994102478,[0.15602275],[0.12904221],[0.0477393]
98,59.25202822685242,0.022204393607968786,12.086661100387573,[0.15587159],[0.12858003],[0.04777614]
99,49.69131875038147,0.022305444920096885,11.166059255599976,[0.15622529],[0.12869958],[0.04770413]
100,58.33680748939514,0.022328166425171676,9.7941415309906,[0.15564331],[0.12850647],[0.04757854]
101,49.18245267868042,0.021997496219953956,9.51163101196289,[0.15601492],[0.12852226],[0.04767901]
102,48.557785987854004,0.021661561008335814,17.86737847328186,[0.15668358],[0.12906606],[0.04790173]
103,55.95288300514221,0.021603526124222713,10.545354843139648,[0.15733442],[0.12981041],[0.04800723]
104,45.64632439613342,0.021480684982368138,9.813077449798584,[0.15768425],[0.12988597],[0.04806752]
105,50.46221137046814,0.021564595986891425,10.515665292739868,[0.15751363],[0.1299164],[0.04799049]
106,50.86404538154602,0.021264691298564124,17.01907253265381,[0.15715863],[0.12948118],[0.04785485]
107,48.86386799812317,0.021183173835390444,11.31766653060913,[0.15729971],[0.12979112],[0.0479235]
108,45.79771018028259,0.021324560540079168,11.650148630142212,[0.15715563],[0.12966046],[0.0478582]
109,50.482924699783325,0.021258582182303823,11.706422090530396,[0.15786339],[0.13053656],[0.04812446]
110,48.87597870826721,0.02104815322143788,13.786552906036377,[0.15802974],[0.1307058],[0.04807757]
111,46.80650520324707,0.02081372198940377,12.07890510559082,[0.15735543],[0.13011819],[0.04795197]
112,49.12106776237488,0.02079696028559196,10.715510606765747,[0.15791215],[0.13086677],[0.04820316]
113,49.79297089576721,0.020854968702270077,10.97527813911438,[0.15862975],[0.13090659],[0.04832206]
114,57.76936888694763,0.02085004519962828,13.671143531799316,[0.15784768],[0.12990371],[0.04817469]
115,49.79238820075989,0.02073600304529372,18.92885184288025,[0.15786664],[0.13002258],[0.0481412]
116,50.46993136405945,0.020607570459069025,9.615921258926392,[0.15765325],[0.12983655],[0.04805412]
117,50.127665758132935,0.02074303119819649,15.470675468444824,[0.15678104],[0.12928353],[0.04789839]
118,44.42851972579956,0.0203798562641058,9.724867343902588,[0.15791773],[0.13067541],[0.04826345]
119,45.48890519142151,0.020451021498313758,10.322601318359375,[0.15744299],[0.13019893],[0.04822326]
120,52.2159059047699,0.020419697792297513,13.313578128814697,[0.1572106],[0.13006847],[0.04807589]
121,56.42647933959961,0.020247608472621352,9.964279890060425,[0.15787638],[0.13084041],[0.04841416]
122,45.42529892921448,0.020213993181559173,10.087634325027466,[0.15849514],[0.13103272],[0.04842421]
123,47.143051624298096,0.020221311225076064,10.382742881774902,[0.15901839],[0.13159606],[0.04859837]
124,65.23860597610474,0.01994526209874135,10.787748336791992,[0.15892445],[0.13135691],[0.04851966]
125,58.97452735900879,0.02020245135498393,15.251401424407959,[0.15910204],[0.13142481],[0.04863186]
126,61.217369079589844,0.020022908491411744,11.05242395401001,[0.15916324],[0.13134671],[0.04864358]
127,50.69495248794556,0.019984439436365107,14.953396081924438,[0.1591902],[0.13182129],[0.04871224]
128,68.72099876403809,0.019803359914063054,18.87068796157837,[0.15925073],[0.13187729],[0.04874908]
129,66.87022662162781,0.0197882782832503,11.242957830429077,[0.15906022],[0.13178859],[0.04873401]
130,60.21166753768921,0.019864278751416036,15.417865991592407,[0.15919226],[0.13163323],[0.04863353]
131,59.01179838180542,0.01960554413939591,9.05723237991333,[0.15901179],[0.13121481],[0.04863186]
132,50.274800539016724,0.019443779094897286,11.806857347488403,[0.15881013],[0.13095226],[0.04858664]
133,60.07682657241821,0.019414752002128145,10.153570890426636,[0.15892096],[0.13071742],[0.04858664]
134,59.401283264160156,0.01923090179046296,11.892944097518921,[0.15910018],[0.1312654],[0.04864358]
135,60.48088550567627,0.01954462285379343,10.810860872268677,[0.15925871],[0.13091929],[0.04851129]
136,61.46303367614746,0.019222123315557837,13.6511709690094,[0.15841133],[0.13088183],[0.04841751]
137,60.452438831329346,0.019362629922765374,11.703408002853394,[0.15886549],[0.13128935],[0.04858162]
138,61.90553164482117,0.019386618993141584,13.249491453170776,[0.15940751],[0.13159279],[0.04869549]
139,58.4472222328186,0.019062989494866796,10.706996440887451,[0.15932909],[0.13164945],[0.04862683]
140,56.07020330429077,0.01910742263855281,10.604184865951538,[0.15999627],[0.13208566],[0.04877085]
141,59.514915466308594,0.018970054444960423,11.398930549621582,[0.16006476],[0.13212641],[0.04880434]
142,59.323939085006714,0.019017423540730067,12.873822450637817,[0.15982691],[0.13164659],[0.04877922]
143,58.84306979179382,0.019123159993364655,10.450352668762207,[0.15981525],[0.13159542],[0.04872061]
144,58.33001971244812,0.018916950711622985,11.23990511894226,[0.15975001],[0.1316268],[0.04875578]
145,61.325093507766724,0.01895955719778107,9.824251413345337,[0.15968651],[0.13145524],[0.04878425]
146,46.51192355155945,0.018644525413166243,13.07603406906128,[0.15883235],[0.13114924],[0.04860171]
147,48.80662703514099,0.0184797454117374,11.20551085472107,[0.15842937],[0.13045533],[0.0484577]
148,61.4487738609314,0.01864070421780902,14.269129037857056,[0.15936409],[0.13122247],[0.04876248]
149,51.21901512145996,0.018422468668884702,10.307271957397461,[0.15907302],[0.13117667],[0.04862851]
150,48.70914602279663,0.01859112961377685,10.233498096466064,[0.15915388],[0.13113258],[0.0487474]
151,41.469732999801636,0.018216786059466274,8.042931318283081,[0.1598003],[0.13179853],[0.0488596]
152,41.00398778915405,0.018393633793098756,7.951953887939453,[0.1601524],[0.13220352],[0.04898185]
153,40.89944505691528,0.018451377182653307,7.8480143547058105,[0.1604273],[0.13241634],[0.0490706]
154,41.10376596450806,0.018474709837593965,7.954029560089111,[0.16029489],[0.13229949],[0.04903376]
155,41.09302520751953,0.01830714802737489,7.923710107803345,[0.16038043],[0.13189265],[0.04900697]
156,41.1196653842926,0.018119279859643993,7.900493383407593,[0.16020067],[0.13177261],[0.04896343]
157,38.63972496986389,0.01838942921268895,7.80296516418457,[0.16026433],[0.13223365],[0.04906558]
158,41.18309044837952,0.01805172259496017,7.6789634227752686,[0.16059453],[0.1324878],[0.04915935]
159,41.1230103969574,0.018071929639619257,7.713458061218262,[0.16088061],[0.13241916],[0.04919954]
160,41.14818263053894,0.01811691169448272,7.736125469207764,[0.15980991],[0.13194039],[0.04891821]
161,41.05540990829468,0.01802165176239655,7.734170198440552,[0.15995937],[0.13206337],[0.04898185]
162,41.01699209213257,0.017936291946850792,7.686866044998169,[0.1604668],[0.13223337],[0.0490706]
163,41.235140323638916,0.01798272915795972,7.693192958831787,[0.15969517],[0.13161706],[0.04889812]
164,41.064547061920166,0.01802730902022861,7.676038503646851,[0.16044163],[0.13200562],[0.0491694]
165,41.02571225166321,0.017834110493592993,7.761425256729126,[0.1600944],[0.13153663],[0.04889142]
166,41.05356049537659,0.01793853805936647,7.702706336975098,[0.16056366],[0.13183384],[0.0489584]
167,41.008694648742676,0.018045485880451673,7.691925525665283,[0.16012524],[0.1316807],[0.04890147]
168,41.168707609176636,0.017771330170540348,7.861342668533325,[0.16041697],[0.13186511],[0.04890482]
169,41.03351879119873,0.017735760491999864,7.717399597167969,[0.16087494],[0.13254816],[0.04906893]
170,40.92899560928345,0.01765458064737043,7.668625354766846,[0.1606342],[0.13208445],[0.04894501]
171,41.053064584732056,0.01744866804360892,7.606752634048462,[0.16113585],[0.13214632],[0.04910577]
172,41.009973764419556,0.017510449661957948,7.607058763504028,[0.16116819],[0.13199293],[0.04912419]
173,41.03827381134033,0.017730062444120495,7.666656494140625,[0.16105608],[0.13225097],[0.04922801]
174,41.057082414627075,0.01756166260115652,7.756591081619263,[0.16090222],[0.13222929],[0.04922801]
175,41.12806057929993,0.01748529793647579,7.627594947814941,[0.16115515],[0.13264987],[0.0493737]
